,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,Singlets Count,Singlets % Parent,Singlets % Grand Parent,Singlets % Total,Singlets Count/uL,iRBC_tdT- Count,iRBC_tdT- % Parent,iRBC_tdT- % Grand Parent,iRBC_tdT- % Total,iRBC_tdT- Count/uL,iRBC_tdT+ Count,iRBC_tdT+ % Parent,iRBC_tdT+ % Grand Parent,iRBC_tdT+ % Total,iRBC_tdT+ Count/uL,uRBCs Count,uRBCs % Parent,uRBCs % Grand Parent,uRBCs % Total,uRBCs Count/uL,iRBCs Count,iRBCs % Parent,iRBCs % Grand Parent,iRBCs % Total,iRBCs Count/uL
SGE-2-07152023-Plate_001-Group_001-B4 PBS-0.5-R1,"43424","100.00","100.00","100.00","372.07","35185","81.03","81.03","81.03","301.47","2239","6.36","5.16","5.16","19.18","92","0.26","0.21","0.21","0.79","32854","93.38","75.66","75.66","281.50","2338","6.64","5.38","5.38","20.03"
SGE-2-07152023-Plate_001-Group_001-B5 PBS-1.0-R1,"57672","100.00","100.00","100.00","471.56","41566","72.07","72.07","72.07","339.87","4102","9.87","7.11","7.11","33.54","162","0.39","0.28","0.28","1.32","37300","89.74","64.68","64.68","304.99","4281","10.30","7.42","7.42","35.00"
SGE-2-07152023-Plate_001-Group_001-B6 M-0.5-R1,"40296","100.00","100.00","100.00","323.17","31082","77.13","77.13","77.13","249.27","2546","8.19","6.32","6.32","20.42","126","0.41","0.31","0.31","1.01","28404","91.38","70.49","70.49","227.80","2684","8.64","6.66","6.66","21.53"
SGE-2-07152023-Plate_001-Group_001-B7 M-1.0-R1,"8","100.00","100.00","100.00","N/A","0","0.00","0.00","0.00","N/A","0","N/A","0.00","0.00","N/A","0","N/A","0.00","0.00","N/A","0","N/A","0.00","0.00","N/A","0","N/A","0.00","0.00","N/A"
SGE-2-07152023-Plate_001-Group_001-B8 F-0.5-R1,"26208","100.00","100.00","100.00","260.21","20607","78.63","78.63","78.63","204.60","1182","5.74","4.51","4.51","11.74","43","0.21","0.16","0.16","0.43","19382","94.06","73.95","73.95","192.43","1232","5.98","4.70","4.70","12.23"
SGE-2-07152023-Plate_001-Group_001-B9 F-1.0-R1,"33792","100.00","100.00","100.00","335.60","23437","69.36","69.36","69.36","232.76","2291","9.78","6.78","6.78","22.75","105","0.45","0.31","0.31","1.04","21041","89.78","62.27","62.27","208.97","2402","10.25","7.11","7.11","23.86"
SGE-2-07152023-Plate_001-Group_001-C4 PBS-0.5-R2,"26224","100.00","100.00","100.00","261.40","20210","77.07","77.07","77.07","201.46","1467","7.26","5.59","5.59","14.62","61","0.30","0.23","0.23","0.61","18682","92.44","71.24","71.24","186.22","1530","7.57","5.83","5.83","15.25"
SGE-2-07152023-Plate_001-Group_001-C5 PBS-1.0-R2,"28400","100.00","100.00","100.00","281.91","15800","55.63","55.63","55.63","156.84","3074","19.46","10.82","10.82","30.51","107","0.68","0.38","0.38","1.06","12618","79.86","44.43","44.43","125.25","3191","20.20","11.24","11.24","31.68"
SGE-2-07152023-Plate_001-Group_001-C6 M-0.5-R2,"13624","100.00","100.00","100.00","135.02","7504","55.08","55.08","55.08","74.37","1378","18.36","10.11","10.11","13.66","44","0.59","0.32","0.32","0.44","6082","81.05","44.64","44.64","60.28","1425","18.99","10.46","10.46","14.12"
SGE-2-07152023-Plate_001-Group_001-C7 M-1.0-R2,"27320","100.00","100.00","100.00","271.00","13402","49.06","49.06","49.06","132.94","3024","22.56","11.07","11.07","30.00","93","0.69","0.34","0.34","0.92","10284","76.73","37.64","37.64","102.01","3125","23.32","11.44","11.44","31.00"
SGE-2-07152023-Plate_001-Group_001-C8 F-0.5-R2,"18072","100.00","100.00","100.00","179.73","13354","73.89","73.89","73.89","132.81","1002","7.50","5.54","5.54","9.97","34","0.25","0.19","0.19","0.34","12318","92.24","68.16","68.16","122.51","1047","7.84","5.79","5.79","10.41"
SGE-2-07152023-Plate_001-Group_001-C9 F-1.0-R2,"30680","100.00","100.00","100.00","302.80","20776","67.72","67.72","67.72","205.05","2313","11.13","7.54","7.54","22.83","87","0.42","0.28","0.28","0.86","18376","88.45","59.90","59.90","181.37","2410","11.60","7.86","7.86","23.79"
SGE-2-07152023-Plate_001-Group_001-D4 PBS-0.5-R3,"14536","100.00","100.00","100.00","143.91","9166","63.06","63.06","63.06","90.74","948","10.34","6.52","6.52","9.39","38","0.41","0.26","0.26","0.38","8180","89.24","56.27","56.27","80.98","992","10.82","6.82","6.82","9.82"
SGE-2-07152023-Plate_001-Group_001-D5 PBS-1.0-R3,"22616","100.00","100.00","100.00","223.39","9527","42.13","42.13","42.13","94.10","2445","25.66","10.81","10.81","24.15","70","0.73","0.31","0.31","0.69","7011","73.59","31.00","31.00","69.25","2533","26.59","11.20","11.20","25.02"
SGE-2-07152023-Plate_001-Group_001-D6 M-0.5-R3,"9112","100.00","100.00","100.00","90.13","3475","38.14","38.14","38.14","34.37","1345","38.71","14.76","14.76","13.30","32","0.92","0.35","0.35","0.32","2098","60.37","23.02","23.02","20.75","1382","39.77","15.17","15.17","13.67"
SGE-2-07152023-Plate_001-Group_001-D7 M-1.0-R3,"20360","100.00","100.00","100.00","201.50","11962","58.75","58.75","58.75","118.39","2328","19.46","11.43","11.43","23.04","73","0.61","0.36","0.36","0.72","9561","79.93","46.96","46.96","94.63","2412","20.16","11.85","11.85","23.87"
SGE-2-07152023-Plate_001-Group_001-D8 F-0.5-R3,"8400","100.00","100.00","100.00","82.59","3530","42.02","42.02","42.02","34.71","839","23.77","9.99","9.99","8.25","21","0.59","0.25","0.25","0.21","2670","75.64","31.79","31.79","26.25","865","24.50","10.30","10.30","8.50"
SGE-2-07152023-Plate_001-Group_001-D9 F-1.0-R3,"26992","100.00","100.00","100.00","268.42","16178","59.94","59.94","59.94","160.88","2128","13.15","7.88","7.88","21.16","77","0.48","0.29","0.29","0.77","13973","86.37","51.77","51.77","138.95","2215","13.69","8.21","8.21","22.03"
SGE-2-07152023-Plate_001-Group_001-E4 PBS-0.5-R4,"9080","100.00","100.00","100.00","90.20","4869","53.62","53.62","53.62","48.37","540","11.09","5.95","5.95","5.36","24","0.49","0.26","0.26","0.24","4304","88.40","47.40","47.40","42.76","565","11.60","6.22","6.22","5.61"
SGE-2-07152023-Plate_001-Group_001-E5 PBS-1.0-R4,"33728","100.00","100.00","100.00","334.37","19331","57.31","57.31","57.31","191.64","3727","19.28","11.05","11.05","36.95","115","0.59","0.34","0.34","1.14","15487","80.11","45.92","45.92","153.53","3868","20.01","11.47","11.47","38.35"
SGE-2-07152023-Plate_001-Group_001-E6 M-0.5-R4,"9584","100.00","100.00","100.00","94.54","3805","39.70","39.70","39.70","37.54","1208","31.75","12.60","12.60","11.92","18","0.47","0.19","0.19","0.18","2579","67.78","26.91","26.91","25.44","1227","32.25","12.80","12.80","12.10"
SGE-2-07152023-Plate_001-Group_001-E7 M-1.0-R4,"24992","100.00","100.00","100.00","246.93","12013","48.07","48.07","48.07","118.69","3027","25.20","12.11","12.11","29.91","82","0.68","0.33","0.33","0.81","8903","74.11","35.62","35.62","87.97","3124","26.01","12.50","12.50","30.87"
SGE-2-07152023-Plate_001-Group_001-E8 F-0.5-R4,"5856","100.00","100.00","100.00","58.01","2136","36.48","36.48","36.48","21.16","598","28.00","10.21","10.21","5.92","20","0.94","0.34","0.34","0.20","1518","71.07","25.92","25.92","15.04","619","28.98","10.57","10.57","6.13"
SGE-2-07152023-Plate_001-Group_001-E9 F-1.0-R4,"24064","100.00","100.00","100.00","240.04","13553","56.32","56.32","56.32","135.19","1916","14.14","7.96","7.96","19.11","62","0.46","0.26","0.26","0.62","11575","85.41","48.10","48.10","115.46","1992","14.70","8.28","8.28","19.87"
