,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,Singlets Count,Singlets % Parent,Singlets % Grand Parent,Singlets % Total,Singlets Count/uL,iRBC_tdT- Count,iRBC_tdT- % Parent,iRBC_tdT- % Grand Parent,iRBC_tdT- % Total,iRBC_tdT- Count/uL,iRBC_tdT+ Count,iRBC_tdT+ % Parent,iRBC_tdT+ % Grand Parent,iRBC_tdT+ % Total,iRBC_tdT+ Count/uL,uRBCs Count,uRBCs % Parent,uRBCs % Grand Parent,uRBCs % Total,uRBCs Count/uL,iRBCs Count,iRBCs % Parent,iRBCs % Grand Parent,iRBCs % Total,iRBCs Count/uL
SGE-3-07172023-Plate_001-Group_001-B4 PBS-0.5-R1,"270472","100.00","100.00","100.00","2697.44","246415","91.11","91.11","91.11","2457.51","3697","1.50","1.37","1.37","36.87","413","0.17","0.15","0.15","4.12","242265","98.32","89.57","89.57","2416.13","4420","1.79","1.63","1.63","44.08"
SGE-3-07172023-Plate_001-Group_001-B5 PBS-1.0-R1,"599509","100.00","100.00","100.00","8068.76","525442","87.65","87.65","87.65","7071.90","8041","1.53","1.34","1.34","108.22","713","0.14","0.12","0.12","9.60","516619","98.32","86.17","86.17","6953.15","10000","1.90","1.67","1.67","134.59"
SGE-3-07172023-Plate_001-Group_001-B6 M-0.5-R1,"426112","100.00","100.00","100.00","4200.63","344800","80.92","80.92","80.92","3399.05","4670","1.35","1.10","1.10","46.04","459","0.13","0.11","0.11","4.52","339667","98.51","79.71","79.71","3348.45","6071","1.76","1.42","1.42","59.85"
SGE-3-07172023-Plate_001-Group_001-B7 M-1.0-R1,"689270","100.00","100.00","100.00","7761.18","588860","85.43","85.43","85.43","6630.56","7257","1.23","1.05","1.05","81.71","620","0.11","0.09","0.09","6.98","580969","98.66","84.29","84.29","6541.71","9042","1.54","1.31","1.31","101.81"
SGE-3-07172023-Plate_001-Group_001-B8 F-0.5-R1,"491408","100.00","100.00","100.00","4844.32","403513","82.11","82.11","82.11","3977.85","3936","0.98","0.80","0.80","38.80","489","0.12","0.10","0.10","4.82","399078","98.90","81.21","81.21","3934.13","5199","1.29","1.06","1.06","51.25"
SGE-3-07172023-Plate_001-Group_001-B9 F-1.0-R1,"741799","100.00","100.00","100.00","8862.59","639455","86.20","86.20","86.20","7639.84","7980","1.25","1.08","1.08","95.34","632","0.10","0.09","0.09","7.55","630826","98.65","85.04","85.04","7536.75","9964","1.56","1.34","1.34","119.04"
SGE-3-07172023-Plate_001-Group_001-C4 PBS-0.5-R2,"185088","100.00","100.00","100.00","1829.66","164101","88.66","88.66","88.66","1622.19","2148","1.31","1.16","1.16","21.23","237","0.14","0.13","0.13","2.34","161703","98.54","87.37","87.37","1598.49","2748","1.67","1.48","1.48","27.16"
SGE-3-07172023-Plate_001-Group_001-C5 PBS-1.0-R2,"389496","100.00","100.00","100.00","3868.27","348267","89.41","89.41","89.41","3458.80","5030","1.44","1.29","1.29","49.96","473","0.14","0.12","0.12","4.70","342750","98.42","88.00","88.00","3404.01","6211","1.78","1.59","1.59","61.68"
SGE-3-07172023-Plate_001-Group_001-C6 M-0.5-R2,"256456","100.00","100.00","100.00","2545.22","200892","78.33","78.33","78.33","1993.77","2773","1.38","1.08","1.08","27.52","358","0.18","0.14","0.14","3.55","197751","98.44","77.11","77.11","1962.59","3608","1.80","1.41","1.41","35.81"
SGE-3-07172023-Plate_001-Group_001-C7 M-1.0-R2,"514608","100.00","100.00","100.00","5117.93","440670","85.63","85.63","85.63","4382.60","5169","1.17","1.00","1.00","51.41","671","0.15","0.13","0.13","6.67","434809","98.67","84.49","84.49","4324.31","6683","1.52","1.30","1.30","66.46"
SGE-3-07172023-Plate_001-Group_001-C8 F-0.5-R2,"322008","100.00","100.00","100.00","3205.34","239456","74.36","74.36","74.36","2383.60","2372","0.99","0.74","0.74","23.61","278","0.12","0.09","0.09","2.77","236796","98.89","73.54","73.54","2357.12","3100","1.29","0.96","0.96","30.86"
SGE-3-07172023-Plate_001-Group_001-C9 F-1.0-R2,"521344","100.00","100.00","100.00","5162.33","432127","82.89","82.89","82.89","4278.91","4923","1.14","0.94","0.94","48.75","532","0.12","0.10","0.10","5.27","426662","98.74","81.84","81.84","4224.79","6251","1.45","1.20","1.20","61.90"
